Ticker,Sector,Score,Rating,Cobertura,Q,Val,Gro,Saf,Mom,Inc,pe,forward_pe,pb,ev_ebitda,roe,profit_margin,revenue_growth,earnings_growth,debt_to_equity,dividend_yield,Mom%
WBD,Communication Services,4.1,Regular,5/6,2.2,4.0,1.9,3.4,9.7,,,713.9474,2.087726,12.835,-0.049590003,-0.04665,-0.01,,96.318,,139.0
UBER,Technology,4.08,Regular,5/6,6.5,6.3,3.1,3.6,3.0,,18.73449,17.085932,6.2119465,23.148,0.3531,0.15907,0.145,-0.846,48.113,,-23.1
MSI,Technology,4.07,Regular,6/6,7.7,4.6,2.7,2.3,3.7,5.4,33.227642,22.266327,26.938982,21.637,0.99289,0.1761,0.074,-0.138,374.132,1.2,-3.3
VIG,,4.0,Regular,3/6,,2.0,,,6.0,2.0,26.33347,,,,,,,,,1.47,16.0
GLOB,Technology,3.99,Regular,5/6,3.2,9.7,3.6,5.6,1.5,,12.227642,4.542503,0.6105631,4.136,0.05204,0.04458,-0.007,0.25,21.118,,-55.7
MSTR,Technology,3.96,Regular,5/6,2.1,7.5,4.3,7.8,1.1,,,20.771141,0.874744,-3.136,-0.30756,0.0,0.119,,18.094,,-60.6
NOW,Technology,3.92,Regular,5/6,4.8,5.2,4.3,4.1,1.9,,59.505955,19.887838,8.79089,34.165,0.1607,0.12586,0.221,0.023,20.728,,-39.2
LND,Consumer Defensive,3.9,Regular,6/6,1.8,9.2,1.4,8.4,3.6,6.6,,,0.89224285,-11.127,-0.0070200004,-0.01575,-0.155,,70.741,3.95,-1.6
CMG,Consumer Cyclical,3.83,Regular,5/6,8.5,2.8,3.7,2.4,1.8,,30.243118,24.300795,17.61892,20.46,0.49231997,0.119619995,0.074,-0.179,217.885,,-42.1
SUZ,Basic Materials,3.8,Regular,6/6,8.2,8.6,2.0,5.1,1.8,1.4,4.3579545,5.1824327,1.0173246,4.095,0.26295,0.22961001,-0.051,-0.319,202.354,0.01,-13.1
BBAR,Financial Services,3.76,Regular,6/6,2.4,5.8,2.2,4.0,5.4,5.6,18.894232,16.540403,1.5218774,,0.07146,0.07131,0.008,-0.246,,2.02,9.1
CIBR,,3.75,Regular,3/6,,2.0,,,6.0,1.0,33.197575,,,,,,,,,0.46,18.3
IFF,Basic Materials,3.75,Regular,6/6,5.3,4.3,2.7,4.3,2.6,6.0,23.68421,15.890788,1.3826385,13.535,0.060510002,0.076570004,-0.036,,45.701,2.1,5.3
SONY,Technology,3.74,Regular,6/6,3.0,8.3,2.6,5.0,3.2,4.0,19.273586,17.168066,2.4050405,0.007,0.12336001,-0.02619,0.083,-0.574,19.513,0.8,-17.1
XYZ,Technology,3.74,Regular,5/6,2.8,6.9,2.2,5.1,4.8,,60.953125,15.64706,2.115567,29.887,0.03743,0.03297,0.049,,37.514,,11.5
HDB,Financial Services,3.71,Regular,6/6,6.2,2.6,2.8,8.0,1.7,3.8,18.239437,17.582209,10.69773,,0.13818,0.26834,-0.018,0.075,,1.63,-37.2
DE,Industrials,3.71,Regular,6/6,6.1,3.3,2.9,5.4,3.1,2.7,35.497055,27.429613,6.174495,23.82,0.18349001,0.10104,-0.111,-0.085,376.022,1.06,7.0
ECL,Basic Materials,3.65,Regular,6/6,7.0,1.6,3.9,2.4,2.4,3.9,37.64324,29.005909,7.8366055,21.927,0.22427,0.12798999,0.1,0.078,92.369,1.03,-3.5
CAR,Industrials,3.54,Regular,5/6,1.9,4.0,4.9,2.8,2.5,,,18.613052,-1.6040603,21.743,,-0.056760002,0.041,,,,4.0
GGAL,Financial Services,3.52,Regular,6/6,1.9,5.3,1.4,4.0,4.7,8.8,141.38889,7.78134,14.060972,,0.00899,0.011360001,-0.147,-0.658,,4.32,2.9
EL,Consumer Defensive,3.47,Flojo,6/6,1.4,4.5,3.0,5.2,5.1,2.1,,24.91904,7.1948905,15.027,-0.05949,-0.01672,0.046,-0.455,232.908,1.74,12.7
TRIP,Consumer Cyclical,3.46,Flojo,5/6,3.6,6.8,2.0,4.6,3.7,,127.545456,8.700182,2.6160731,12.906,0.02937,0.00992,-0.04,,199.792,,-14.3
DOW,Basic Materials,3.43,Flojo,6/6,2.0,5.0,1.9,3.5,3.7,8.9,,13.045062,1.3201305,14.288,-0.15262,-0.07244,-0.061,,117.133,4.82,34.1
SUPV,Financial Services,3.42,Flojo,5/6,1.6,9.1,3.2,2.0,3.1,,,7.2234964,1.1532451,,-0.07753,-0.10413,0.011,,,,-11.3
SH,,3.33,Flojo (poca data),2/6,,,,,1.0,8.0,,,,,,,,,,4.52,-14.7
PSQ,,3.33,Flojo (poca data),2/6,,,,,1.0,8.0,,,,,,,,,,5.2,-22.6
ARKK,,3.25,Flojo,3/6,,1.0,,,6.0,0.0,47.734688,,,,,,,,,0.0,17.3
